Source,Station,Latitude,Longitude
EMP,NZ002,38.06028,-122.20694
EMP,NZ003,38.0525,-122.17833
EMP,NZ004,38.02917,-122.15833
EMP,NZ005,38.03167,-122.13528
EMP,NZ020,38.05972,-122.10972
EMP,NZ022,38.07194,-122.09611
EMP,NZ024,38.09306,-122.06917
EMP,NZ028,38.11722,-122.04722
EMP,NZ030,38.11528,-122.05194
EMP,NZ032,38.17028,-122.02083
EMP,NZ033,38.13528,-121.91222
EMP,NZ034,38.07778,-121.88333
EMP,NZ036,38.09167,-122.01417
EMP,NZ038,38.07444,-121.98889
EMP,NZ040,38.07389,-121.93667
EMP,NZ042,38.04917,-122.09222
EMP,NZ044,38.065,-122.06111
EMP,NZ046,38.065,-122.03417
EMP,NZ048,38.06,-121.99583
EMP,NZ050,38.05806,-121.96528
EMP,NZ052,38.04639,-121.91722
EMP,NZ054,38.04583,-121.90639
EMP,NZ056,38.04889,-121.88472
EMP,NZ058,38.05972,-121.86833
EMP,NZ060,38.06444,-121.82889
EMP,NZ062,38.06167,-121.79611
EMP,NZ064,38.08472,-121.73806
EMP,NZ066,38.10861,-121.71444
EMP,NZ068,38.14806,-121.68361
EMP,NZ069,38.17222,-121.64389
EMP,NZ070,38.1775,-121.66667
EMP,NZ071,38.21139,-121.66472
EMP,NZ072,38.03167,-121.83528
EMP,NZ074,38.02222,-121.80361
EMP,NZ076,38.02194,-121.76361
EMP,NZ078,38.0475,-121.70667
EMP,NZ080,38.07333,-121.67667
EMP,NZ082,38.08972,-121.65083
EMP,NZ084,38.10361,-121.60556
EMP,NZ086,38.07778,-121.57028
EMP,NZ088,38.05417,-121.51417
EMP,NZ090,38.00194,-121.44917
EMP,NZ092,37.97833,-121.38194
EMP,NZ098,37.97083,-121.53444
EMP,NZ099,38.25833,-121.69167
EMP,NZ100,38.19694,-121.61583
EMP,NZ101,38.23778,-121.67139
EMP,NZ103,38.1725,-121.5925
EMP,NZ104,38.05639,-121.66333
EMP,NZ155,38.27167,-121.66056
EMP,NZ161,38.34194,-121.64361
EMP,NZ165,38.405,-121.61167
EMP,NZ169,38.47,-121.58389
EMP,NZ295,37.97111,-122.4325
EMP,NZ300,38.01111,-122.4
EMP,NZ305,38.04028,-122.35
EMP,NZ310,38.02667,-122.32361
EMP,NZ325,38.05778,-122.28889
EMP,NZ338,38.06611,-122.24306
EMP,NZ340,38.10861,-122.27861
EMP,NZ41A,38.07083,-122.41111
EMP,NZC03,38.34778,-121.54028
EMP,NZC09,37.83444,-121.55389
EMP,NZC13,38.11667,-121.49722
EMP,NZD06,38.04444,-122.11667
EMP,NZD11,38.04278,-121.79278
EMP,NZD14,38.01806,-121.71056
EMP,NZD15,38.0525,-121.68833
EMP,NZD16,38.09722,-121.66667
EMP,NZD19,38.04389,-121.61361
EMP,NZD28,37.98278,-121.57722
EMP,NZD41,38.03056,-122.37083
EMP,NZEZ2,,
EMP,NZEZ2SJR,,
EMP,NZEZ6,,
EMP,NZEZ6SJR,,
EMP,NZM01,38.24139,-121.55139
EMP,NZM02,38.15083,-121.59639
EMP,NZM03,38.14556,-121.55667
EMP,NZM04,37.97972,-121.47417
EMP,NZM06,38.14111,-121.5
EMP,NZM07,38.12611,-121.49528
EMP,NZM08,38.04417,-121.52917
EMP,NZM09,38.08361,-121.47
EMP,NZM10,38.04361,-121.42639
EMP,NZM12,,
EMP,NZP02,38.23333,-121.48889
EMP,NZP04,38.17,-121.44722
EMP,NZP10,37.89167,-121.48889
EMP,NZS42,38.18056,-122.04722
FMWT,340,38.10508,-122.26988
FMWT,405,38.03353,-122.15815
FMWT,411,38.06117,-122.06828
FMWT,416,38.0702,-122.09415
FMWT,418,38.09383,-122.06973
FMWT,501,38.06167,-122.01955
FMWT,502,38.05997,-122.00397
FMWT,504,38.05945,-121.9767
FMWT,508,38.04813,-121.91492
FMWT,513,38.0592,-121.86842
FMWT,519,38.07378,-121.94725
FMWT,520,38.03281,-121.86931
FMWT,602,38.11783,-122.04183
FMWT,605,38.14853,-122.05738
FMWT,606,38.1698,-122.02177
FMWT,608,38.0887,-121.88332
FMWT,609,38.16771,-121.9347
FMWT,610,38.11881,-121.88919
FMWT,611,38.14387,-121.90889
FMWT,704,38.07087,-121.77892
FMWT,706,38.0903,-121.74
FMWT,707,38.11397,-121.70797
FMWT,711,38.17595,-121.67028
FMWT,716,38.23787,-121.68438
FMWT,719,38.33428,-121.64733
FMWT,721,38.26815,-121.70277
FMWT,722,38.255027,-121.68858
FMWT,723,38.23615,-121.67348
FMWT,795,38.5377,-121.58468
FMWT,796,38.47387,-121.5844
FMWT,797,38.40462,-121.6156
FMWT,802,38.03528,-121.83875
FMWT,804,38.02308,-121.79868
FMWT,809,38.0512,-121.69305
FMWT,812,38.08792,-121.64883
FMWT,815,38.0913,-121.57587
FMWT,902,38.0205,-121.58255
FMWT,906,38.05412,-121.51653
FMWT,910,38.00228,-121.45037
FMWT,912,37.96883,-121.37172
FMWT,914,37.94662,-121.53475
FMWT,915,37.949,-121.55908
FMWT,919,38.10572,-121.49525
FRP,501 FRP,38.07447,-122.01588
FRP,520 FRP,38.04482,-121.87193
FRP,602FRP,38.12129217,-122.0067224
FRP,609 FRP,38.18178043,-121.9139374
FRP,703 FRP,38.0430953,-121.7992028
FRP,705 FRP,38.08988506,-121.7090585
FRP,706 FRP,38.08294,-121.72507
FRP,720 FRP,38.25995,-121.7926
FRP,723 FRP,38.24355,-121.68453
FRP,724 FRP,38.24246447,-121.6618801
FRP,726 FRP,38.25811292,-121.653526
FRP,801 FRP,38.04218957,-121.8444517
FRP,Barker rip rap,38.26531,-121.78379
FRP,BK1,38.26781949,-121.7898314
FRP,BK2,38.26321378,-121.7803662
FRP,Blacklock,38.18031,-121.90878
FRP,Bradmoor,38.18248,-121.92172
FRP,BROISL,38.039,-121.85761
