SampleID,Date,time,Sampletype,Latitude,Longitude,Temp,SC,pH,DO,Secchi,Turbidity,Tide,Microcystis,volume,subsample,VegWeight,CommonName,Count,AdjCount,Station
500um-1-24Mar2016,3/24/2016,7:28:00,trawl,38.24501,-121.66361,14,148,6.599999905,4.5,NA,8.399999619,4=flood,1=absent,6.066854576,100,NA,Diptera Pupae,1,1,ProBr
500um-1-24Mar2016,3/24/2016,7:28:00,trawl,38.24501,-121.66361,14,148,6.599999905,4.5,NA,8.399999619,4=flood,1=absent,6.066854576,100,NA,Diptera Adult,4,4,ProBr
500um-1-24Mar2016,3/24/2016,7:28:00,trawl,38.24501,-121.66361,14,148,6.599999905,4.5,NA,8.399999619,4=flood,1=absent,6.066854576,100,NA,Aphididae Adult,1,1,ProBr
500um-1-24Mar2016,3/24/2016,7:28:00,trawl,38.24501,-121.66361,14,148,6.599999905,4.5,NA,8.399999619,4=flood,1=absent,6.066854576,100,NA,Collembola,1,1,ProBr
500um-1-24Mar2016,3/24/2016,7:28:00,trawl,38.24501,-121.66361,14,148,6.599999905,4.5,NA,8.399999619,4=flood,1=absent,6.066854576,100,NA,Mite,1,1,ProBr
500um-1-24Mar2016,3/24/2016,7:28:00,trawl,38.24501,-121.66361,14,148,6.599999905,4.5,NA,8.399999619,4=flood,1=absent,6.066854576,100,NA,Fish,1,1,ProBr
500um-1-24Mar2016,3/24/2016,7:28:00,trawl,38.24501,-121.66361,14,148,6.599999905,4.5,NA,8.399999619,4=flood,1=absent,6.066854576,100,NA,Physa,2,2,ProBr
500um-1-24Mar2016,3/24/2016,7:28:00,trawl,38.24501,-121.66361,14,148,6.599999905,4.5,NA,8.399999619,4=flood,1=absent,6.066854576,100,NA,Crangonyx,3,3,ProBr
500um-1-25Mar2016,3/25/2016,7:17:00,trawl,38.08419,-121.72389,13.30000019,142.8000031,7.400000095,8.100000381,NA,20.79999924,2=ebb,1=absent,0.326776008,100,NA,Gnorimosphaeroma,1,1,Decker Breach
500um-1-25Mar2016,3/25/2016,7:17:00,trawl,38.08419,-121.72389,13.30000019,142.8000031,7.400000095,8.100000381,NA,20.79999924,2=ebb,1=absent,0.326776008,100,NA,Asellidae,1,1,Decker Breach
500um-1-25Mar2016,3/25/2016,7:17:00,trawl,38.08419,-121.72389,13.30000019,142.8000031,7.400000095,8.100000381,NA,20.79999924,2=ebb,1=absent,0.326776008,100,NA,Caenidae,1,1,Decker Breach
500um-1-25Mar2016,3/25/2016,7:17:00,trawl,38.08419,-121.72389,13.30000019,142.8000031,7.400000095,8.100000381,NA,20.79999924,2=ebb,1=absent,0.326776008,100,NA,Diptera Adult,1,1,Decker Breach
500um-1-25Mar2016,3/25/2016,7:17:00,trawl,38.08419,-121.72389,13.30000019,142.8000031,7.400000095,8.100000381,NA,20.79999924,2=ebb,1=absent,0.326776008,100,NA,Corophiid UNID,5,5,Decker Breach
500um-1-25Mar2016,3/25/2016,7:17:00,trawl,38.08419,-121.72389,13.30000019,142.8000031,7.400000095,8.100000381,NA,20.79999924,2=ebb,1=absent,0.326776008,100,NA,Ostracods,1,1,Decker Breach
500um-1-25Mar2016,3/25/2016,7:17:00,trawl,38.08419,-121.72389,13.30000019,142.8000031,7.400000095,8.100000381,NA,20.79999924,2=ebb,1=absent,0.326776008,100,NA,Corixidae,1,1,Decker Breach
500um-1-25Mar2016,3/25/2016,7:17:00,trawl,38.08419,-121.72389,13.30000019,142.8000031,7.400000095,8.100000381,NA,20.79999924,2=ebb,1=absent,0.326776008,100,NA,Chironomid Larvae,6,6,Decker Breach
500um-1-25Mar2016,3/25/2016,7:17:00,trawl,38.08419,-121.72389,13.30000019,142.8000031,7.400000095,8.100000381,NA,20.79999924,2=ebb,1=absent,0.326776008,100,NA,Collembola,2,2,Decker Breach
500um-1-25Mar2016,3/25/2016,7:17:00,trawl,38.08419,-121.72389,13.30000019,142.8000031,7.400000095,8.100000381,NA,20.79999924,2=ebb,1=absent,0.326776008,100,NA,Physa,1,1,Decker Breach
